"_url","title","date","court","summary","url"
"https://www.livelaw.in/high-court/all-high-courts","Article 22(5) | Preventive Detention Order Unconstitutional If All Grounds Of Detention Are Not Communicated To Detenu: Orissa High Court","(not found)","Orissa High Court","The Orissa High Court reiterates that a preventive detention order is unconstitutional if all grounds of detention are not communicated to the detenu.","https://www.livelaw.in/high-court/orissa-high-court/orissa-high-court-preventive-detention-order-validity-grounds-of-detention-not-communicated-284764"
"https://www.livelaw.in/high-court/allahabad-high-court","Name In Board Examination Certificate Can Be Changed Only After Obtaining Decree From Civil Court: Allahabad High Court","(not found)","Allahabad High Court","The Allahabad High Court has held that name in board examination certificates can only be changed after obtaining a decree from a Civil Court regarding change in name. It held that mere reference to change in Aadhar card and PAN card is not sufficient for the Board to change the name of a person.","https://www.livelaw.in/high-court/allahabad-high-court/name-in-board-examination-certificate-can-be-changed-only-after-obtaining-decree-from-civil-court-allahabad-high-court-284711"
"https://www.livelaw.in/high-court/andhra-pradesh-high-court","Designated Committee Under Sabka Vishwas Scheme May Reject Application For Compounding Tax Over Bogus Documents: Telangana High Court","(not found)","Andhra Pradesh High Court","A division bench of the Andhra Pradesh High Court dismissed a writ petition challenging the rejection of a compounding tax application due to bogus documents.","https://www.livelaw.in/high-court/andhra-pradesh-high-court/andhra-pradesh-high-court-designated-committee-under-the-sabkha-vishwas-legacy-dispute-resolution-scheme-2019-may-reject-an-application-for-compounding-tax-by-way-of-one-tme-settlement-284745"
"https://www.livelaw.in/high-court/bombay-high-court","Bombay High Court Weekly Round-Up: February 17 - February 23, 2025","2025-02-23","Bombay High Court","2025 LiveLaw (Bom) 66 to 2025 LiveLaw (Bom) 71Nominal Index:Swanubhuti Jain vs State of Maharashtra, 2025 LiveLaw (Bom) 66Sagar Dnyaneshwar Shinde vs. Secretary Maharashtra State Commission And Ors , 2025 LiveLaw (Bom) 67Mirza Himayat Inayat Baig vs. State of Maharashtra, 2025 LiveLaw (Bom) 68Vijay Chand Dubey vs State of Maharashtra and Anr, 2025 LiveLaw (Bom) 69The Board of Control for…","https://www.livelaw.in/high-court/bombay-high-court/bombay-high-court-weekly-round-up-284755"
"https://www.livelaw.in/high-court/calcutta-high-court","[Arbitration Act] Referral Courts Can't Indulge In Enquiry Into Whether Claims Are Time-Barred: Calcutta High Court","(not found)","Calcutta High Court","The Calcutta High Court bench of Justice Shampa Sarkar held that it would not be proper for referral court to indulge in an intricate evidentiary enquiry into whether claims were time-barred.","https://www.livelaw.in/arbitration-cases/arbitration-act-referral-courts-cant-indulge-in-enquiry-into-whether-claims-are-time-barred-calcutta-high-court-284594"
"https://www.livelaw.in/high-court/chattisgarh-high-court","Naxal Attacks Are Politically Driven, Threaten National Security: Chhattisgarh HC Upholds Conviction Of Four In 2014 Tahakwara Naxal Ambush","(not found)","Chhattisgarh High Court","The Chhattisgarh High Court upheld the conviction of four persons for the 2014 Tahakwara Naxal attack.","https://www.livelaw.in/high-court/chattisgarh-high-court/naxalite-attacks-politically-driven-threaten-national-security-chhattisgarh-hc-upholds-conviction-of-4-persons-2014-tahakwara-naxal-ambush-284482"
"https://www.livelaw.in/high-court/delhi-high-court","Delhi High Court Weekly Round-Up: February 17 To February 23, 2025","(not found)","Delhi High Court","Citations 2025 LiveLaw (Del) 190 to 2025 LiveLaw (Del) 219 NOMINAL INDEX DR. B.K. TIWARI ADVISER (NUTRITION) verus UNION OF INDIA & ANR 2025 LiveLaw (Del) 190 Gor Sharian v. The Commissioner Of Customs 2025 LiveLaw (Del) 191 Principal Commissioner, Central Tax Commissionerate, Gst Delhi West v. M/S Alkarma 2025 LiveLaw (Del) 192 JAN CHETNA JAGRITI AVOM SHAIKSHANIK VIKAS MANCH & ORS v.","https://www.livelaw.in/high-court/delhi-high-court/delhi-high-court-weekly-round-up-february-17-to-february-23-2025-284752"
"https://www.livelaw.in/high-court/gauhati-high-court","'Except Plea Of Maintainability, No New Ground Can Be Taken Up In Appeal': Gauhati HC Upholds Award Passed By Motor Accident Claims Tribunal","(not found)","Gauhati High Court","The Gauhati High Court dismissed an appeal against a Motor Accident Claims Tribunal judgment, disallowing new grounds in appeal.","https://www.livelaw.in/high-court/gauhati-high-court/gauhati-high-court-no-new-ground-in-appeal-except-plea-of-maintainability-284365"
"https://www.livelaw.in/high-court/gujarat-high-court","MV Act | Paralysis Of Minor's Upper Body Left Him Deadwood At Nascent Stage, Tribunal Erred In Assessing Disability As 50%: Gujarat HC","(not found)","Gujarat High Court","Enhancing the compensation to Rs. 13,09, 240 along with interest to a 5-year-old boy who became paralytic after a road accident, the Gujarat High Court said that the Motor Accident Claims Tribunal-which had awarded over Rs. 2 Lakh- had ""failed to understand"" the effect of paralysis on the boy's upper body which left him ""deadwood at the nascent age"".","https://www.livelaw.in/high-court/gujarat-high-court/gujarat-high-court-mv-act-enhancement-of-compensation-284466"
"https://www.livelaw.in/high-court/himachal-pradesh-high-court","Penalty Provision U/S 16(7) HP VAT Act Cannot Be Invoked Without First Ascertaining Applicability Of S.16(4): Himachal Pradesh High Court","(not found)","Himachal Pradesh High Court","The Himachal Pradesh High Court held that the penalty provision in Section 16(7) of the HP VAT Act cannot be invoked until Section 16(4) is satisfied.","https://www.livelaw.in/high-court/himachal-pradesh-high-court/penalty-provision-us-167-hp-vat-act-cannot-be-invoked-without-first-ascertaining-applicability-of-s164-himachal-pradesh-high-court-281362"
